Year,"Edinburgh, United Kingdom","London, United Kingdom","Cairo, Egypt","Beijing, China","Sydney, Australia","New York City, USA","Santiago, Chile","Berlin, Germany","Riyadh, Saudi Arabia","Astana, Kazakhstan"
1902,23.76482972154616,52.93316339134035,21.75817804443819,12.01384149881314,3.411902994732368,30.06751693023987,6.680232844632787,38.73171487060556,65.82203910367485,10.3223266669784
1903,22.12863467981977,50.64493878335748,22.38995794714739,11.49505349609638,3.78026804604024,29.36719899616981,6.774051646954212,40.52378167311643,65.12466704676596,9.109273793268184
1904,23.11671792845858,53.29864251228051,21.9117327388775,11.3874298666231,3.719012395372393,31.64601984830144,6.874337202853203,40.82375411699357,69.77709344259316,9.91228034452231
1905,23.47829396974578,52.57000646936929,22.01064322950748,12.59703728698181,3.967564549133903,30.71452967736083,7.152462136287438,43.44537807902881,68.95227259727376,8.61618467366571
1906,23.74832182189176,54.36394731635042,21.29426988779128,12.70621200380467,3.932340685306981,32.26750654140528,6.879458515270152,43.04636275583282,60.46364149304475,9.323164454341125
1907,24.92761909891206,56.51729703109557,22.93726924252325,13.49632028597465,3.699383370497579,33.73040676449395,6.986902468222355,45.75401264644604,68.95441589119096,10.53757967672538
1908,23.97128099604233,56.50885958876498,21.99856778450972,11.68788835875582,3.6764330683963,31.35053158969162,7.333495716342357,47.51710146930831,67.23868610538109,9.287495379877623
1909,23.7261509442828,58.08432595656112,22.55874912392594,12.44291258188231,3.696785232042572,34.1597610249225,7.60994354158402,47.33991833822759,70.13757151141239,9.54065991361295
1910,23.73021615898602,59.01127249460689,24.06005181956509,12.33659536152633,3.766652173333719,33.61786433675972,7.651650638140607,45.91808653780325,71.85671254385974,10.01741263453045
1911,23.99283294939944,57.22229106931947,22.91297324855682,12.63024771020414,4.210536603267998,33.87687951985232,7.748082345566657,46.70471378819374,58.19552906136068,8.589655683087157
1912,24.67577368045514,61.28017171463788,23.23984622861895,13.10987208283121,4.054777504777792,34.6002586337768,7.376569814304018,48.4112661142022,68.51289526044054,9.99493225512626
1913,24.82978295516561,57.88301240469458,23.19981311850419,12.75478375322604,3.770764343075875,36.4587685315833,7.743917331493206,49.50288490199102,64.83790691516948,9.339072790749773
1914,24.71845074177237,58.62530917648512,22.66701335795185,13.50427693459267,3.801649179111951,33.94196711350038,7.797669172056171,44.12182563737966,73.70652702038892,10.27343985480883
1915,24.60653362803152,57.65490334581293,23.96208414470567,13.4688132652839,3.94443409678529,33.39364665607627,7.906151012551739,42.73813818835748,67.58006024448093,10.45391656039842
1916,23.97267562521541,60.18930728181372,21.75302953861735,14.18632760309364,3.709158664473829,35.20819462209752,7.931508052814889,45.37741662116063,71.44196758622607,11.25220986092225
1917,23.71010055008639,58.91250739694321,22.86294733117223,13.55280001619794,4.018776564036475,36.32228113101226,8.21205433734638,48.82815446791766,66.91693856536544,11.12764844396854
1918,22.85593372192819,53.22607773943687,22.73126043494551,14.13952197952001,3.95355183797103,36.80813035593906,8.004986291142101,43.04504197057418,65.40389314688223,9.63022894644934
1919,22.60576293355533,53.95632380274461,22.57672501903689,14.58175470160621,3.694832465169577,31.48964415317443,8.01175092967407,35.55254424408545,61.51694690028891,8.843217593364072
1920,22.43361309309661,56.02823456225271,22.76766957651105,14.15365147348084,3.782096193067018,35.47351131844709,8.239161203472076,39.37416146519326,66.4114635141087,9.61103106005562
1921,19.0031822247347,40.80315674074897,24.65698458360231,13.29741845571378,4.223216031368421,32.99804059194965,8.487978593539319,39.34276764160787,67.74192666952825,9.50188751030805
1922,21.51580077324001,51.90245356081173,22.84496949539847,13.45133759092126,3.941847335250853,30.21747230219683,8.61181145302888,39.7119519234663,64.6964435410931,9.162548628918524
1923,22.58540476852737,51.41168601824072,23.02289573681997,14.90648262933154,3.748539233341174,34.36362052242093,8.984808506780979,35.74249670480468,63.69332702052783,9.620988655666315
1924,22.21454543400409,55.36055057731791,23.12513674965534,13.16027514909443,3.948542163673534,31.93095027222406,9.486734030228488,41.68796415652594,70.67739064411981,9.832890370818374
1925,21.69829649655789,54.33777956278298,23.37107253012743,14.30095355489257,4.163607825873958,31.97190758548273,9.68829952586109,39.76035694045954,61.71399042740973,9.912205153889497
1926,16.51642980122496,34.67488915632139,23.69019480289984,13.86872171459487,3.944626566035391,33.49177864635741,9.988914041352466,37.82619593205505,62.20411078819466,9.510181344285574
